id_Note;Nom_Fichier;Titre_Avis;Équilibre travail/vie privée;Culture et valeurs;Opportunités de carrière;émunération et avantages;Équipe dirigeante;Note_moyenne
1;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
2;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
3;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
4;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
5;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
6;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
7;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
8;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
9;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
10;13546-AVIS-SOC-GLASSDOOR-E12966_P1.html;Devoteam;ÂÂSalaireÂÂ;3.0;3.0;3.0;3.0;3.0
11;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
12;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
13;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
14;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
15;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
16;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
17;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
18;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
19;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
20;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;Devoteam;ÂÂAbandonnÃ© chez un client pendant 2 ans et demiÂÂ;2.0;4.0;1.0;3.0;2.0
21;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
22;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
23;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
24;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
25;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
26;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
27;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
28;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
29;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
30;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;Atos;ÂÂOKÂÂ;4.0;4.0;3.0;2.0;3.0
31;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
32;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
33;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
34;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
35;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
36;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
37;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
38;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
39;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
40;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;Atos;ÂÂFavorableÂÂ;1.0;1.0;1.0;1.0;1.0
41;13551-AVIS-SOC-GLASSDOOR-E794111_P1.html;Atos;ÂÂJe ne recommande pas.ÂÂ;3.0;1.0;2.0;2.0;2.0
42;13551-AVIS-SOC-GLASSDOOR-E794111_P1.html;Atos;ÂÂJe ne recommande pas.ÂÂ;3.0;1.0;2.0;2.0;2.0
43;13551-AVIS-SOC-GLASSDOOR-E794111_P1.html;Atos;ÂÂJe ne recommande pas.ÂÂ;3.0;1.0;2.0;2.0;2.0
44;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
45;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
46;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
47;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
48;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
49;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
50;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
51;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
52;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
53;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;Atos Consulting;ÂÂPas de suivi du managementÂÂ;5.0;2.0;2.0;4.0;2.0
54;13553-AVIS-SOC-GLASSDOOR-E5304_P1.html;Atos-Syntel;ÂÂDÃ©veloppeur de logiciel avec deux ans d'expÃ©rienceÂÂ;5.0;5.0;4.0;4.0;4.0
55;13553-AVIS-SOC-GLASSDOOR-E5304_P1.html;Atos-Syntel;ÂÂDÃ©veloppeur de logiciel avec deux ans d'expÃ©rienceÂÂ;5.0;5.0;4.0;4.0;4.0
