ID;Field;Value
1;CompanyName;Bayer
1;Location;NULL
1;Sector; Biotechnologies et pharmaceutique
1;Website;NULL
1;Foundation;NULL
2;CompanyName;Atos-Syntel
2;Location;NULL
2;Sector; Services informatiques
2;Website;NULL
2;Foundation;NULL
3;CompanyName;Plastic Omnium
3;Location;NULL
3;Sector; Fabrication d'équipement de transport
3;Website;NULL
3;Foundation;NULL
4;CompanyName;Manpower
4;Location;NULL
4;Sector; Recrutement et sous-traitance
4;Website;NULL
4;Foundation;NULL
5;CompanyName;Artefacts Studio
5;Location;NULL
5;Sector; Inconnu
5;Website;NULL
5;Foundation;NULL
6;CompanyName;Thales-Raytheon Systems
6;Location;NULL
6;Sector; Gestion des transports
6;Website;NULL
6;Foundation;NULL
7;CompanyName;Datadog
7;Location;NULL
7;Sector; Matériel et logiciels informatiques
7;Website;NULL
7;Foundation;NULL
8;CompanyName;Smile Group
8;Location;NULL
8;Sector; Services informatiques
8;Website;NULL
8;Foundation;NULL
9;CompanyName;Altran North America
9;Location;NULL
9;Sector; Services de télécommunications
9;Website;NULL
9;Foundation;NULL
10;CompanyName;Merial
10;Location;NULL
10;Sector; Fabrication de produits grand public
10;Website;NULL
10;Foundation;NULL
11;CompanyName;Expertime
11;Location;NULL
11;Sector; Services informatiques
11;Website;NULL
11;Foundation;NULL
12;CompanyName;Groupe SII
12;Location;NULL
12;Sector; Services informatiques
12;Website;NULL
12;Foundation;NULL
13;CompanyName;Sephora
13;Location;NULL
13;Sector; Salons de beauté et magasins d'accessoires
13;Website;NULL
13;Foundation;NULL
14;CompanyName;STM
14;Location;NULL
14;Sector; Secteur ferroviaire
14;Website;NULL
14;Foundation;NULL
15;CompanyName;Volvo Trucks
15;Location;NULL
15;Sector; Fabrication d'équipement de transport
15;Website;NULL
15;Foundation;NULL
16;CompanyName;ibis
16;Location;NULL
16;Sector; Hôtels, motels et stations de tourisme
16;Website;NULL
16;Foundation;NULL
17;CompanyName;Transdev
17;Location;NULL
17;Sector; Gestion des transports
17;Website;NULL
17;Foundation;NULL
18;CompanyName;Volvo Construction Equipment
18;Location;NULL
18;Sector; Fabrication industrielle
18;Website;NULL
18;Foundation;NULL
19;CompanyName;Abaka
19;Location;NULL
19;Sector; Conseils
19;Website;NULL
19;Foundation;NULL
20;CompanyName;Altran Engineering Solution
20;Location;NULL
20;Sector; Fabrication industrielle
20;Website;NULL
20;Foundation;NULL
21;CompanyName;Artefact
21;Location;NULL
21;Sector; Conseils
21;Website;NULL
21;Foundation;NULL
22;CompanyName;Adsearch
22;Location;NULL
22;Sector; Inconnu
22;Website;NULL
22;Foundation;NULL
23;CompanyName;Les Echos
23;Location;NULL
23;Sector; Édition
23;Website;NULL
23;Foundation;NULL
24;CompanyName;Lacoste Traiteur
24;Location;NULL
24;Sector; Inconnu
24;Website;NULL
24;Foundation;NULL
25;CompanyName;Open Sourcing
25;Location;NULL
25;Sector; Recrutement et sous-traitance
25;Website;NULL
25;Foundation;NULL
26;CompanyName;Atos
26;Location;NULL
26;Sector; Services informatiques
26;Website;NULL
26;Foundation;NULL
27;CompanyName;Softeam
27;Location;NULL
27;Sector; Matériel et logiciels informatiques
27;Website;NULL
27;Foundation;NULL
28;CompanyName;CGIAR
28;Location;NULL
28;Sector; Assistance sociale
28;Website;NULL
28;Foundation;NULL
29;CompanyName;Sanofi
29;Location;NULL
29;Sector; Biotechnologies et pharmaceutique
29;Website;NULL
29;Foundation;NULL
30;CompanyName;Modis
30;Location;NULL
30;Sector; Recrutement et sous-traitance
30;Website;NULL
30;Foundation;NULL
31;CompanyName;CACIB
31;Location;NULL
31;Sector; Investissements bancaires et gestion d'actifs
31;Website;NULL
31;Foundation;NULL
32;CompanyName;Group Adaming
32;Location;NULL
32;Sector; Services informatiques
32;Website;NULL
32;Foundation;NULL
33;CompanyName;Open
33;Location;NULL
33;Sector; Services d'architecture et d'ingénierie
33;Website;NULL
33;Foundation;NULL
34;CompanyName;Phaidon International
34;Location;NULL
34;Sector; Recrutement et sous-traitance
34;Website;NULL
34;Foundation;NULL
