id_Note,Nom_Fichier,Titre_Avis_x,Équilibre travail/vie privée,Culture et valeurs,Opportunités de carrière,émunération et avantages,Équipe dirigeante,Note_moyenne,id_avis,Nom_Entreprise,Titre_Avis_y,Date_Avis,Auteur_Avis,Loc_Avis,Inconvenients,Avantages
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,1,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,2,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,3,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,4,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,5,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,6,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,7,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,8,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,9,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
1,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,10,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,1,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,2,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,3,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,4,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,5,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,6,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,7,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,8,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
2,13546-AVIS-SOC-GLASSDOOR-E12966_P1.html,Devoteam,Salaire,3.0,3.0,3.0,3.0,3.0,9,Devoteam,Salaire,Dec 12 2019,Ancien employé - Employé anonyme,Levallois-Perret,,Salaire acceptable pour un junior
