id_localisation,Ville,Pays
501,Lyon,FR
502,Lyon,FR
503,Lyon,FR
504,Lyon,FR
505,Lyon,FR
506,Lyon,FR
507,Lyon,FR
508,Lyon,FR
509,Ã\x89cully,FR
510,Lyon Area,FR
511,Lyon,FR
512,Gradignan,FR
513,Lyon,FR
514,Lyon,FR
515,Saint-Maurice-sur-Dargoire,FR
516,Lille,FR
517,Lyon,FR
518,NULL,NULL
519,Lyon,FR
520,Lyon,FR
521,Lyon,FR
522,Lyon,FR
523,Lyon,FR
524,Lyon,FR
525,Sainte-Julie,FR
526,Lyon,FR
527,Lyon,FR
528,Lyon,FR
529,Ã\x89cully,FR
530,Limonest,FR
531,Limonest,FR
532,Lyon 03,FR
533,Lyon,FR
534,NULL,NULL
535,Lyon,FR
536,NULL,NULL
537,Lyon,FR
538,Lyon,FR
539,Lyon Area,FR
540,Lyon,FR
541,Nice,FR
542,Lyon,FR
543,Lyon,FR
544,Lyon,FR
545,Lyon,FR
546,Lyon,FR
547,Lyon,FR
548,Lyon 06,FR
549,Lyon,FR
550,Lyon,FR
551,Lyon,FR
552,Lyon,FR
553,Lyon,FR
554,Saint-Maurice-sur-Dargoire,FR
555,Lyon,FR
556,Lyon,FR
557,Lyon,FR
558,Lyon,FR
559,Lyon,FR
560,RÃ©gion de Paris,FR
561,Paris Area,FR
562,Bezons,FR
563,Fontenay-sous-Bois,FR
564,NULL,NULL
565,NULL,NULL
566,Lyon,FR
567,Saint-Priest,FR
568,Lyon,FR
569,Lyon,FR
570,Limonest,FR
